"","ensembl_gene_id","external_gene_name","Gene_name_canonical","graph_localization_annotation","num_human","num"
"3720","ENSMUSG00000051256","Jagn1","JAGN1","ER",1,1
"3721","ENSMUSG00000051329","Nup160","NUP160","ER",1,1
"3722","ENSMUSG00000051339","2900026A02Rik","KIAA1671","plasma_membrane",1,1
"3723","ENSMUSG00000051343","Rab11fip5","RAB11FIP5","recycling_endosome",1,2
"3724","ENSMUSG00000051355","Commd1","COMMD1","early_endosome",1,1
"3725","ENSMUSG00000051391","Ywhag","YWHAG","14-3-3_scaffold",1,1
"3726","ENSMUSG00000051483","Cbr1","CBR1","mitochondrion",1,1
"3727","ENSMUSG00000051495","Irf2bp2","IRF2BP2","unclassified",1,1
"3728","ENSMUSG00000051615","Rap2a","RAP2A","plasma_membrane",1,1
"3729","ENSMUSG00000051675","Trim32","TRIM32","Golgi",1,1
"3730","ENSMUSG00000051695","Pcbp1","PCBP1","unclassified",1,1
"3731","ENSMUSG00000051768","Xrcc1","XRCC1","nucleus",1,1
"3732","ENSMUSG00000051864","Tbc1d22a","TBC1D22A","cytosol",1,1
"3733","ENSMUSG00000051934","Spats2","SPATS2","nucleolus",1,1
"3734","ENSMUSG00000051950","B3glct","B3GLCT","ER",1,1
"3735","ENSMUSG00000052033","Pfdn4","PFDN4","cytosol",1,1
"3736","ENSMUSG00000052102","Gnpda1","GNPDA1","cytosol",1,1
"3737","ENSMUSG00000052139","Babam2","BABAM2","unclassified",1,1
"3738","ENSMUSG00000052146","Rps10","RPS10","translation",1,2
"3739","ENSMUSG00000052293","Taf9","TAF9","nucleus",1,1
"3740","ENSMUSG00000052296","Ppp6r1","PPP6R1","unclassified",1,1
"3741","ENSMUSG00000052299","Ltn1","LTN1","cytosol",1,1
"3742","ENSMUSG00000052331","Ankrd44","ANKRD44","cytosol",1,1
"3743","ENSMUSG00000052337","Immt","IMMT","mitochondrion",1,9
"3744","ENSMUSG00000052397","Ezr","EZR","plasma_membrane",1,1
"3745","ENSMUSG00000052406","Rexo4","REXO4","nucleolus",1,1
"3746","ENSMUSG00000052456","Get3","GET3","ER",1,1
"3747","ENSMUSG00000052459","Atp6v1a","ATP6V1A","early_endosome",1,1
"3748","ENSMUSG00000052488","Cherp","CHERP","nucleus",1,2
"3749","ENSMUSG00000052533","Nup188","NUP188","ER",1,1
"3750","ENSMUSG00000052593","Adam17","ADAM17","ER",1,1
"3751","ENSMUSG00000052681","Rap1b","RAP1B","plasma_membrane",1,1
"3752","ENSMUSG00000052684","Jun","JUN","nucleus",1,1
"3753","ENSMUSG00000052698","Tln2","TLN2","plasma_membrane",1,1
"3754","ENSMUSG00000052707","Tnrc6a","TNRC6A","stress_granule",1,1
"3755","ENSMUSG00000052738","Suclg1","SUCLG1","mitochondrion",1,1
"3756","ENSMUSG00000052752","Traf7","TRAF7","plasma_membrane",1,1
"3757","ENSMUSG00000052798","Nup107","NUP107","ER",1,1
"3758","ENSMUSG00000052833","Sae1","SAE1","cytosol",1,1
"3759","ENSMUSG00000052915","Msl1","MSL1","nucleus",1,1
"3760","ENSMUSG00000052928","Ctif","CTIF","cytosol",1,1
"3761","ENSMUSG00000052997","Uba2","UBA2","cytosol",1,1
"3762","ENSMUSG00000053134","Supt7l","SUPT7L","ER",1,1
"3763","ENSMUSG00000053192","Mllt11","MLLT11","mitochondrion",1,1
